Branch,Reviews,Restaurant,Review_Date
Geetham Veg Restaurant,"The Q Token system was good. We got place within 10mins. Foods alright, couldnt eat much as it felt heavy after the soup. Staff are attentive and even in rush hour, they make sure all r served well",Geetham,2026-04-20
Geetham Veg Restaurant,There’s a certain comfort in the familiar. 🍃 From the golden crisp of my forever favorite ghee dosa to the simple warmth of phulkas with paneer corn masala. Ending it with a fresh carrot juice—sometimes the simplest things are the most beautiful. …,Geetham,2026-03-08
Geetham Veg Restaurant,"Malai Methi Mutter had milk with mutter. Lol...
No jain food available..served with onion despite conveying two times. …",Geetham,2026-02-07
Geetham Veg Restaurant,Popular place for veg food. Lot's of choice. Quick service. Thali only for lunchtime. Dosa with too much ghee (ask without). Hravy not that tasty. Prices very low,Geetham,2025-12-23
Geetham Veg Restaurant,"Visited on a weekday for lunch and the place was quite packed. However, we got a table quickly. …",Geetham,2025-12-18
Geetham Veg Restaurant,"Am a regular at Geetham restaurantsas they have maintained the simplicity and taste of everyday food across all their branches.
However, this particular branch has seen a decline in service standard over the …",Geetham,2026-03-09
Geetham Veg Restaurant,"⭐⭐⭐⭐☆ (4/5)

I recently visited Getham Veg Restaurant in Pallavaram and had a pleasant dining …",Geetham,2026-01-31
Geetham Veg Restaurant,"Geetham Veg Restaurant is a pure vegetarian restaurant located very close to Chennai Airport.
This restaurant has very good food options of South Indian, North Indian as well …",Geetham,2026-04-18
Geetham Veg Restaurant,Came here for breakfast and ordered the idli and dosa. Vaadai is included with the idli and dosa set.  The chutneys and sambar are delicious. The staffs are courteous and honest. We had to wait for 10 minutes for the waiters to find a table …,Geetham,2026-03-03
Geetham Veg Restaurant,"A great spot for a South Indian breakfast, especially since it’s conveniently located close to the airport. The place is huge, making it perfect for a relaxed morning meal without feeling cramped. The ambience is pleasant and comfortable, …",Geetham,2026-03-11
Geetham Veg Restaurant,Great place to try vegetarian dishes. Tandoori platter is a must try if you are large family. Their side dish tawa mushroom is average.,Geetham,2026-03-30
Geetham Veg Restaurant,"Visited Geetham Veg Restaurant on 14th May with my family for a quick lunch. Usually I visit with clients, but this visit was disappointing due to the attitude and service behavior of one staff member named Suraj (Order Taker / Station …",Geetham,2026-05-30
Geetham Veg Restaurant,"Great place to have food with family. Fast and efficient service. Lots of food options - there's something for everyone. Must try for all those who want something fresh, fast, and filling. Cuisine - South Indian, North Indian, Indo-Chinese, desserts amd savouries. Quite close to the airport.",Geetham,2025-12-17
